Item URL,Item ID,Item Image,Title,Sold Price,Estimated Price
https://www.juliensauctions.com/en/items/1426300/david-lynch-twin-peaks-themed-log-lady-mug,01,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/92e70991-0f1e-4b3e-8d29-06af11d7bef0?format=auto&width=3840&quality=75,"""Twin Peaks"" Themed Log Lady Mug","$11,700",$100 - $200
https://www.juliensauctions.com/en/items/1426238/david-lynch-mazzer-mini-electronic-a-commercial-espresso-grinder-a,02,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/fd8d2561-5286-41b1-a04f-89295dbe1577?format=auto&width=3840&quality=75,Mazzer Mini Electronic A Commercial Espresso Grinder (A),"$7,800",$500 - $700
https://www.juliensauctions.com/en/items/1426565/david-lynch-la-marzocco-gs-3-home-espresso-machine-a,03,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/a6289f7b-5792-4ac9-adbd-d4ef1db2875b?format=auto&width=3840&quality=75,La Marzocco GS/3 Home Espresso Machine (A),"$45,500","$2,000 - $3,000"
https://www.juliensauctions.com/en/items/1426586/david-lynch-twin-peaks-related-coffee-mugs,04,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/d30a77b5-87ff-4560-9316-b25d43309e6c?format=auto&width=3840&quality=75,"""Twin Peaks"" Related Coffee Mugs","$3,575",$200 - $300
https://www.juliensauctions.com/en/items/1426245/david-lynch-mr-coffee-coffee-makers,05,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/08ea35b5-0cc5-489f-b06b-ba58791e13a5?format=auto&width=3840&quality=75,"""Mr. Coffee"" Coffee Makers","$4,550",$100 - $200
https://www.juliensauctions.com/en/items/1426558/david-lynch-handmade-coffee-table,06,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/611153bf-b25c-4309-a3ca-0f1c0578ea2c?format=auto&width=3840&quality=75,Handmade Coffee Table,"$9,100",$300 - $500
https://www.juliensauctions.com/en/items/1426187/david-lynch-mid-century-style-hot-pink-velvet-sofa,07,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/a7afd75c-9648-486c-a9d8-c804bb62272f?format=auto&width=3840&quality=75,Mid Century Style Hot Pink Velvet Sofa,"$11,700",$600 - $800
https://www.juliensauctions.com/en/items/1426301/david-lynch-taxidermy-deer-heads,08,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/a84f5191-7fd3-41e0-8fbb-89a439dc8bb5?format=auto&width=3840&quality=75,Taxidermy Deer Heads,"$16,250",$200 - $300
https://www.juliensauctions.com/en/items/1426574/david-lynch-five-relco-floor-lamps,09,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/3058bfff-7206-4d80-8722-b978680855bc?format=auto&width=3840&quality=75,Five Relco Floor Lamps,"$7,800",$200 - $300
https://www.juliensauctions.com/en/items/1426559/david-lynch-pair-of-david-lynch-limited-edition-domeau-peres-silencio-club-chairs,10,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/3a772fd1-465c-4bd9-bf06-e9557bcac53d?format=auto&width=3840&quality=75,Pair of David Lynch Limited Edition Domeau & Peres Silencio Club Chairs,"$16,250","$4,000 - $6,000"
https://www.juliensauctions.com/en/items/1426302/david-lynch-allison-reimold-signed-mulholland-drive-naomi-watts-and-laura-harring-portrait-paintings,11,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/25415f88-de6b-43ab-8bbc-7bd04ee0ec8a?format=auto&width=3840&quality=75,"Allison Reimold Signed ""Mulholland Drive"" Naomi Watts and Laura Harring Portrait Paintings","$16,250",$300 - $500
https://www.juliensauctions.com/en/items/1426206/david-lynch-four-mulholland-drive-prop-menus,12,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/3d2946e6-349c-4fd5-a7ab-3b2d6c1915ba?format=auto&width=3840&quality=75,"Four ""Mulholland Drive"" Prop Menus","$7,800",$500 - $700
https://www.juliensauctions.com/en/items/1426303/david-lynch-mulholland-drive-scripts,13,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/128b8836-3321-4252-bd39-655a592c5d2f?format=auto&width=3840&quality=75,"""Mulholland Drive"" Scripts","$104,000",$300 - $500
https://www.juliensauctions.com/en/items/1426553/david-lynch-mulholland-drive-memorabilia,14,https://assets.basta.app/accounts/42e1dad9-7eb0-499b-9c8a-c08fbdfed260/images/d4660617-e72f-4ada-9c67-6f54474d4c56?format=auto&width=3840&quality=75,"""Mulholland Drive"" Memorabilia","$6,500",$100 - $200
