Title,Sold Price,Estimated Low,Estimated High,URL,Price Ratio,Is Script,Category
"""Lost Highway"" Script",195000,200,300,https://www.juliensauctions.com/en/items/1426415/david-lynch-lost-highway-script,650.0,True,Script
"""Ronnie Rocket"" Unfinished Film Screenplays, One Annotated",195000,200,300,https://www.juliensauctions.com/en/items/1426291/david-lynch-ronnie-rocket-unfinished-film-screenplays-one-annotated,650.0,False,Other
"""Mulholland Drive"" Scripts",104000,300,500,https://www.juliensauctions.com/en/items/1426303/david-lynch-mulholland-drive-scripts,208.0,True,Script
Personalized Director's Chair,91000,5000,7000,https://www.juliensauctions.com/en/items/1426306/david-lynch-personalized-director-s-chair,13.0,False,Other
"""Twin Peaks"" Scripts Under ""Northwest Passage"" Title",91000,200,300,https://www.juliensauctions.com/en/items/1426232/david-lynch-twin-peaks-scripts-under-northwest-passage-title,303.3333333333333,True,Script
"""Twin Peaks: Fire Walk With Me"" Scripts",78000,300,500,https://www.juliensauctions.com/en/items/1426349/david-lynch-twin-peaks-fire-walk-with-me-scripts,156.0,True,Script
"""Wild at Heart"" Scripts",58500,300,500,https://www.juliensauctions.com/en/items/1426432/david-lynch-wild-at-heart-scripts,117.0,True,Script
1974 Incense Holder made by Lynch,52000,300,500,https://www.juliensauctions.com/en/items/1426196/david-lynch-1974-incense-holder-made-by-lynch,104.0,False,Other
"Personal 35mm Print of ""Eraserhead""",52000,500,700,https://www.juliensauctions.com/en/items/1426357/david-lynch-personal-35mm-print-of-eraserhead,74.28571428571429,False,Other
James Fee Signed and Gifted Esquire Magazine Monoprint Photo,45500,300,500,https://www.juliensauctions.com/en/items/1426427/david-lynch-james-fee-signed-and-gifted-esquire-magazine-monoprint-photo,91.0,False,Other
"""Twin Peaks: The Return"" Screen-Matched Nuclear Bomb Framed Photo from Gordon Cole's Office",45500,1000,2000,https://www.juliensauctions.com/en/items/1426352/david-lynch-twin-peaks-the-return-screen-matched-nuclear-bomb-framed-photo-from-gordon-cole-s-office,22.75,False,Other
La Marzocco GS/3 Home Espresso Machine (A),45500,2000,3000,https://www.juliensauctions.com/en/items/1426565/david-lynch-la-marzocco-gs-3-home-espresso-machine-a,15.166666666666666,False,Other
"""The Dream of the Bovine"" Unfinished Project Scripts",39000,200,300,https://www.juliensauctions.com/en/items/1426304/david-lynch-the-dream-of-the-bovine-unfinished-project-scripts,130.0,True,Script
"Fernandes Gravity APB-8 8 String Electric Bass, Black",39000,600,800,https://www.juliensauctions.com/en/items/1426204/david-lynch-fernandes-gravity-apb-8-8-string-electric-bass-black,48.75,False,Other
Danny Ferrington Custom Five Neck Console Guitar Designed and Studio Played By David Lynch,39000,2000,3000,https://www.juliensauctions.com/en/items/1426191/david-lynch-danny-ferrington-custom-five-neck-console-guitar-designed-and-studio-played-by-david-lyn,13.0,False,Other
Homemade Figural Head Sculptures,35750,300,500,https://www.juliensauctions.com/en/items/1426385/david-lynch-homemade-figural-head-sculptures,71.5,False,Other
"Pair of ""Lynch/Frost"" Walkie Talkies",32500,200,300,https://www.juliensauctions.com/en/items/1426190/david-lynch-pair-of-lynch-frost-walkie-talkies,108.33333333333333,False,Other
Monumental Steel Easel,32500,500,700,https://www.juliensauctions.com/en/items/1426386/david-lynch-monumental-steel-easel,46.42857142857143,False,Other
"""Twin Peaks"" Black Lodge Style Red Curtain and Zig-Zag Rug",32500,1000,2000,https://www.juliensauctions.com/en/items/1426346/david-lynch-twin-peaks-black-lodge-style-red-curtain-and-zig-zag-rug,16.25,False,Other
Studio Played Photo Matched Parker Fly Electric Guitar and Roland VG-8EX Guitar Synthesizer System,32500,4000,6000,https://www.juliensauctions.com/en/items/1426269/david-lynch-studio-played-photo-matched-parker-fly-electric-guitar-and-roland-vg-8ex-guitar-synthesi,5.416666666666667,False,Other
Leica R6.2 Camera with Halliburton Carrying Case,29250,300,500,https://www.juliensauctions.com/en/items/1426547/david-lynch-leica-r6-2-camera-with-halliburton-carrying-case,58.5,False,Camera
Linhof Master Technika Camera with Halliburton Carrying Case,29250,500,700,https://www.juliensauctions.com/en/items/1426318/david-lynch-linhof-master-technika-camera-with-halliburton-carrying-case,41.785714285714285,False,Camera
Art Studio Chair and Stool,29250,600,800,https://www.juliensauctions.com/en/items/1426236/david-lynch-art-studio-chair-and-stool,36.5625,False,Other
"Hasui Kawase ""Tengu Rock"" Woodblock Print",29250,500,700,https://www.juliensauctions.com/en/items/1426174/david-lynch-hasui-kawase-tengu-rock-woodblock-print,41.785714285714285,False,Other
Transcendental Meditation Items,26000,200,300,https://www.juliensauctions.com/en/items/1426418/david-lynch-transcendental-meditation-items,86.66666666666667,False,Other
"""Twin Peaks: The Return"" Sheriff's Department Lamp",26000,1000,2000,https://www.juliensauctions.com/en/items/1426353/david-lynch-twin-peaks-the-return-sheriff-s-department-lamp,13.0,False,Other
Hollywood Biography and Reference Books with Donald Lynch Inscribed Book,22750,400,600,https://www.juliensauctions.com/en/items/1426316/david-lynch-hollywood-biography-and-reference-books-with-donald-lynch-inscribed-book,37.916666666666664,False,Book
"""Lost Highway"" Luna Lounge Prop Matchbooks",22750,200,300,https://www.juliensauctions.com/en/items/1426279/david-lynch-lost-highway-luna-lounge-prop-matchbooks,75.83333333333333,False,Book
George Nelson Coconut Chair with Ottoman,22750,3000,5000,https://www.juliensauctions.com/en/items/1426361/david-lynch-george-nelson-coconut-chair-with-ottoman,4.55,False,Other
"""Twin Peaks: Fire Walk With Me"" Deer Meadow Sheriff Department Magnetic Decal Prop",22750,300,500,https://www.juliensauctions.com/en/items/1426350/david-lynch-twin-peaks-fire-walk-with-me-deer-meadow-sheriff-department-magnetic-decal-prop,45.5,False,Other
"Man Ray Signed ""Two Hands"" Limited-Edition Print",22750,1000,2000,https://www.juliensauctions.com/en/items/1426540/david-lynch-man-ray-signed-two-hands-limited-edition-print,11.375,False,Other
Laminate Bookshelf and Four End Tables,22750,400,600,https://www.juliensauctions.com/en/items/1426200/david-lynch-laminate-bookshelf-and-four-end-tables,37.916666666666664,False,Book
Conference Table Designed and Built by Lynch with Twelve Chairs,19500,2000,3000,https://www.juliensauctions.com/en/items/1426409/david-lynch-conference-table-designed-and-built-by-lynch-with-twelve-chairs,6.5,False,Other
"Screen-Matched ""Twin Peaks: The Return"" ""Just You and I"" 1980s Epiphone Emperor Hollowbody Electric Guitar, Natural",19500,800,1200,https://www.juliensauctions.com/en/items/1426403/david-lynch-screen-matched-twin-peaks-the-return-just-you-and-i-1980s-epiphone-emperor-hollowbody-el,16.25,False,Other
Andrzej Czerwinski Surrealist Dragon Painting,19500,300,500,https://www.juliensauctions.com/en/items/1426426/david-lynch-andrzej-czerwinski-surrealist-dragon-painting,39.0,False,Other
"James Havard Signed ""Animal Spirits"" Painting",19500,500,700,https://www.juliensauctions.com/en/items/1426197/david-lynch-james-havard-signed-animal-spirits-painting,27.857142857142858,False,Other
Montana Luxus Snakeskin Camera,19500,200,300,https://www.juliensauctions.com/en/items/1426249/david-lynch-montana-luxus-snakeskin-camera,65.0,False,Camera
Three Bone Sculptures,19500,400,600,https://www.juliensauctions.com/en/items/1426618/david-lynch-three-bone-sculptures,32.5,False,Other
Sheet of Handwritten Art Notes,19500,500,700,https://www.juliensauctions.com/en/items/1426598/david-lynch-sheet-of-handwritten-art-notes,27.857142857142858,False,Other
Large Dreamcatcher,19500,50,100,https://www.juliensauctions.com/en/items/1426576/david-lynch-large-dreamcatcher,195.0,False,Other
"Personal 35mm Print of ""Inland Empire""",19500,500,700,https://www.juliensauctions.com/en/items/1426412/david-lynch-personal-35mm-print-of-inland-empire,27.857142857142858,False,Other
David Lynch Designed End Table,19500,400,600,https://www.juliensauctions.com/en/items/1426542/david-lynch-david-lynch-designed-end-table,32.5,False,Other
1982 Fender Rhodes Mark II Eighty-Eight Suitcase Piano with Cabinet,19500,3000,5000,https://www.juliensauctions.com/en/items/1426401/david-lynch-1982-fender-rhodes-mark-ii-eighty-eight-suitcase-piano-with-cabinet,3.9,False,Other
Vincent Bach Selmer Bundy Trumpet,16250,100,200,https://www.juliensauctions.com/en/items/1426465/david-lynch-vincent-bach-selmer-bundy-trumpet,81.25,False,Other
Marek Janusz Signed and Gifted Watercolor Paintings,16250,200,300,https://www.juliensauctions.com/en/items/1426533/david-lynch-marek-janusz-signed-and-gifted-watercolor-paintings,54.166666666666664,False,Other
Salvador Dali Print and Romanoz Signed Drawing,16250,300,500,https://www.juliensauctions.com/en/items/1426256/david-lynch-salvador-dali-print-and-romanoz-signed-drawing,32.5,False,Other
Canon Scoopic 16mm Film Camera with Case,16250,600,800,https://www.juliensauctions.com/en/items/1426307/david-lynch-canon-scoopic-16mm-film-camera-with-case,20.3125,False,Camera
Marilyn Monroe 1956/1980s Rare Large Format Black and White Photograph by Milton H. Greene (A),16250,3000,5000,https://www.juliensauctions.com/en/items/1426254/david-lynch-marilyn-monroe-1956-1980s-rare-large-format-black-and-white-photograph-by-milton-h-green,3.25,False,Other
Five Multi-Drawer Cabinets with Tools and Art Supplies,16250,500,700,https://www.juliensauctions.com/en/items/1426389/david-lynch-five-multi-drawer-cabinets-with-tools-and-art-supplies,23.214285714285715,False,Other
